"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"Transcript_100593.0"	7.61522427363234	2.29427959706556	12.9361689501991	5.61831514139419	2.49013755009179	2.75452681597343e-06	0.999997245473184
"Transcript_100596.0"	1.57556888959397	0.326642103797789	2.82449567539015	8.41990839355243	3.07380453722438	0.000961054932069327	0.999038945067931
"Transcript_100607.0"	17.340175547672	8.99858608260163	25.6817650127423	2.85191979930802	1.51193341138647	0.0363397709819762	0.963660229018024
"Transcript_100621.0"	53.5000996071551	0.268246022675657	106.731953191635	383.624362947536	8.5835505347071	1.88737914186277e-15	0.999999999999998
"Transcript_100623.0"	1.30433347833308	2.44695187607277	0.161715080593386	0.0698894765769111	-3.83878094781132	7.24675292429477e-06	0.999992753247076
"Transcript_100625.0"	1.13418571734907	2.1448516110667	0.123519823631431	0.0619624214241536	-4.01246266558981	0.0128034018338015	0.987196598166199
"Transcript_100648.0"	1.10315487610678	2.12396320312594	0.0823465490876208	0.0432746679756928	-4.53033343919862	0.00237038948320345	0.997629610516797
"Transcript_100652.0"	7.43003131075854	3.47674581677818	11.3833168047389	3.26760750666549	1.70823470251855	0.0105288423520544	0.989471157647946
"Transcript_100657.0"	1.81653320058761	3.4957208588697	0.137345542305514	0.042030026986524	-4.57243580696288	0.000428212273269168	0.999571787726731
"Transcript_10066.0"	126.051888166615	0.567763364694671	251.536012968535	435.378960210586	8.76612788041231	0	1
"Transcript_100667.0"	3.043968279458	5.37025571357688	0.717680845339133	0.135250234204084	-2.88629700261141	0.00021739321780212	0.999782606782198
"Transcript_100676.0"	1.9239769997222	0	3.84795399944439	385.795399944439	8.59169213119982	3.05425067459453e-08	0.999999969457493
"Transcript_100698.0"	5.42155185049557	0.0858527898070327	10.7572509111841	112.33111663062	6.81161381110552	9.46165368276297e-12	0.999999999990538
"Transcript_100701.0"	14.2785885749981	4.97301282929154	23.5841643207046	4.7349194411083	2.24333988020216	0.00120415573637755	0.998795844263622
"Transcript_100707.0"	0.963641456577638	1.70288095504464	0.224401958110641	0.13684661354912	-2.86936836114424	0.0294092372442115	0.970590762755788
"Transcript_100713.0"	1.53876016322548	0.692476666390811	2.38504366006015	3.40942806309201	1.7695297451892	0.0144183970296449	0.985581602970355
"Transcript_10072.0"	2.17374132141407	0.372362242011074	3.97512040081707	10.4223690599179	3.38161134203547	1.59769669717535e-05	0.999984023033028
"Transcript_100746.0"	1.15703762395647	0.406324128555416	1.90775111935753	4.60638956000903	2.20363642427183	0.0133037860038401	0.98669621399616
"Transcript_100763.0"	0.818496202870529	0.0606690737898789	1.57632333195118	22.4472070578965	4.48846404700817	0.0003198185040999	0.9996801814959
"Transcript_100768.0"	1.78787825764754	3.11596028878184	0.459796226513245	0.150288609935067	-2.7341924203827	0.000771321075789588	0.99922867892421
"Transcript_100781.0"	6.95374846551559	0	13.9074969310312	1391.74969310312	10.4426840497349	0.000251040169377159	0.999748959830623
