"id"	"packs"
"Transcript_20212.0"	"EBSeq,edgeR,DESeq2"
"Transcript_202205.0"	"DESeq,edgeR,DESeq2"
"Transcript_202236.0"	"EBSeq,edgeR,DESeq2"
"Transcript_20229.0"	"DESeq,edgeR,DESeq2"
"Transcript_202827.0"	"EBSeq,edgeR,DESeq2"
"Transcript_20336.0"	"EBSeq,edgeR,DESeq2"
"Transcript_204877.0"	"EBSeq,edgeR,DESeq2"
"Transcript_205085.0"	"EBSeq,edgeR,DESeq2"
"Transcript_20612.0"	"EBSeq,edgeR,DESeq2"
"Transcript_20639.0"	"EBSeq,edgeR,DESeq2"
"Transcript_206620.0"	"EBSeq,edgeR,DESeq2"
"Transcript_207128.0"	"EBSeq,edgeR,DESeq2"
"Transcript_207224.0"	"EBSeq,edgeR,DESeq2"
"Transcript_207356.0"	"EBSeq,edgeR,DESeq2"
"Transcript_207419.0"	"EBSeq,edgeR,DESeq2"
"Transcript_207634.0"	"DESeq,edgeR,DESeq2"
"Transcript_207727.0"	"EBSeq,edgeR,DESeq2"
"Transcript_208470.0"	"EBSeq,edgeR,DESeq2"
"Transcript_208835.0"	"EBSeq,edgeR,DESeq2"
"Transcript_208877.0"	"EBSeq,edgeR,DESeq2"
"Transcript_209501.0"	"EBSeq,edgeR,DESeq2"
"Transcript_209502.0"	"EBSeq,edgeR,DESeq2"
"Transcript_209707.0"	"EBSeq,edgeR,DESeq2"
"Transcript_209867.0"	"EBSeq,edgeR,DESeq2"
"Transcript_210261.0"	"EBSeq,edgeR,DESeq2"
"Transcript_212161.0"	"EBSeq,edgeR,DESeq2"
"Transcript_212436.0"	"EBSeq,edgeR,DESeq2"
"Transcript_212584.0"	"EBSeq,edgeR,DESeq2"
"Transcript_21313.0"	"EBSeq,edgeR,DESeq2"
"Transcript_21381.0"	"EBSeq,edgeR,DESeq2"
"Transcript_214950.0"	"EBSeq,edgeR,DESeq2"
"Transcript_21580.0"	"EBSeq,edgeR,DESeq2"
"Transcript_216185.0"	"EBSeq,edgeR,DESeq2"
"Transcript_217640.0"	"EBSeq,edgeR,DESeq2"
"Transcript_21891.0"	"EBSeq,edgeR,DESeq2"
"Transcript_219317.0"	"EBSeq,edgeR,DESeq2"
"Transcript_21938.0"	"EBSeq,edgeR,DESeq2"
"Transcript_219678.0"	"EBSeq,edgeR,DESeq2"
"Transcript_219703.0"	"EBSeq,edgeR,DESeq2"
"Transcript_220116.0"	"EBSeq,edgeR,DESeq2"
"Transcript_220274.0"	"EBSeq,edgeR,DESeq2"
"Transcript_22037.0"	"EBSeq,edgeR,DESeq2"
"Transcript_22068.0"	"EBSeq,edgeR,DESeq2"
"Transcript_22171.0"	"EBSeq,edgeR,DESeq2"
"Transcript_221763.0"	"EBSeq,edgeR,DESeq2"
"Transcript_222393.0"	"EBSeq,edgeR,DESeq2"
"Transcript_222889.0"	"EBSeq,edgeR,DESeq2"
"Transcript_223094.0"	"EBSeq,edgeR,DESeq2"
"Transcript_223677.0"	"EBSeq,edgeR,DESeq2"
"Transcript_223923.0"	"EBSeq,edgeR,DESeq2"
