"baseMean"	"baseMeanA"	"baseMeanB"	"FoldChange"	"logFC"	"PValue"	"FDR"
"Transcript_101808.0"	0.941407115730121	1.88281423146024	0	13.4647539590724	3.7511159626572	0.0270865793228992	0.723352054389152
"Transcript_101812.0"	27.3450095409279	9.30955176982176	45.3804673120341	0.119966713064417	-3.05929393537595	0.0297095693224829	0.723352054389152
"Transcript_101980.0"	5.13231891571718	0.248689335470642	10.0159484959637	0.0175592675951075	-5.83162351910091	0.014988363454448	0.723352054389152
"Transcript_102037.0"	3.16125928696514	0	6.32251857393027	0.0302093447322749	-5.04886129871616	0.0216403166653988	0.723352054389152
"Transcript_102083.0"	0.512165838103394	1.02433167620679	0	14.6772306570648	3.87550787681375	0.0246469619577501	0.723352054389152
"Transcript_102120.0"	18.5620526967144	4.7335138511804	32.3905915422485	0.123366827770672	-3.0189735759623	0.042755657372651	0.723352054389152
"Transcript_102140.0"	1.51481604638288	0.624836186934913	2.40479590583085	0.0631167324689502	-3.98583367030519	0.0381880627959043	0.723352054389152
"Transcript_102149.0"	7.20365309344022	0.520441098000611	13.8868650888798	0.0529228698991545	-4.23996489163104	0.0331521321730999	0.723352054389152
"Transcript_102156.0"	0.0874347746426586	0.174869549285317	0	14.6772306570648	3.87550787681375	0.0246469619577501	0.723352054389152
"Transcript_102170.0"	1.91321033938983	0	3.82642067877965	0.0690055235086845	-3.85714434354113	0.0465437552685049	0.723352054389152
"Transcript_102204.0"	0.961782521069244	0	1.92356504213849	0.011497110843812	-6.44258482382068	0.0129455420957546	0.720833319131497
"Transcript_102244.0"	5.96402427089574	0	11.9280485417915	0.0203373401483051	-5.61972518342966	0.0111097971473788	0.716233589032663
"Transcript_10225.0"	991.243589474059	37.8217103615539	1944.66546858656	0.0360407438362292	-4.79422740288063	0.00254793461436532	0.661988380352504
"Transcript_102259.0"	1.58322122922491	0	3.16644245844982	0.013745381121358	-6.18490928043057	0.00588072901506357	0.666852152596639
"Transcript_102282.0"	1.63528663727897	3.11198984738077	0.158583427177172	13.1052881696276	3.71207717204257	0.0101940922755402	0.710047085209127
"Transcript_102284.0"	1.01827109662703	0	2.03654219325406	0.0305638524119182	-5.0320297908616	0.00939472664105948	0.706037043016562
"Transcript_102288.0"	0.674508801042465	0	1.34901760208493	0.035432823488924	-4.81876975759066	0.0297974103196507	0.723352054389152
"Transcript_102311.0"	4.99073094798284	0.0437173873213293	9.93774450864434	0.0372014360510828	-4.74849787640412	0.0472817360483702	0.723352054389152
"Transcript_102312.0"	1.07730508100801	2.15461016201601	0	10.6235666993328	3.40919630505532	0.0270991558279498	0.723352054389152
"Transcript_10232.0"	78.0434007268665	0	156.086801453733	0.000408808135180272	-11.2562884737156	0.000180593040516479	0.49981541087893
"Transcript_102358.0"	2.88090429366636	0.410891875032822	5.35091671229989	0.0923025648620777	-3.43748545238701	0.0438518474486773	0.723352054389152
"Transcript_102384.0"	12.9185315269968	0.462633647372733	25.3744294066208	0.0235914781999866	-5.40559037166464	0.037632896876288	0.723352054389152
"Transcript_102426.0"	3.06978111911102	0.431090615780441	5.7084716224416	0.0253920338892058	-5.29948023101024	0.0174258446033634	0.723352054389152
"Transcript_102464.0"	48.0467381231683	0	96.0934762463366	0.00136641552604804	-9.51538801171542	0.000274470154511368	0.49981541087893
"Transcript_102468.0"	3.94768186836509	7.89536373673017	0	212.145990921301	7.72891360499254	0.00170987619146542	0.61828840085704
"Transcript_102502.0"	2.57495868866049	0	5.14991737732098	0.0441609917632613	-4.5010836173898	0.0123877331848228	0.718529924853843
"Transcript_102548.0"	4.42064466666248	0	8.84128933332497	0.031524242580622	-4.98739448181624	0.0217229113386176	0.723352054389152
"Transcript_102589.0"	10.2673385682799	18.6837446402727	1.85093249628716	5.39168462720669	2.43073611223355	0.0435435007974609	0.723352054389152
"Transcript_102593.0"	1.46365469935532	2.92730939871064	0	26.7373948348928	4.74078699779514	0.0335777844257744	0.723352054389152
"Transcript_10264.0"	469.774252860455	0.476394456363323	939.072111264547	0.000753010264489367	-10.3750428487466	0.000966731399922377	0.593694847236637
"Transcript_102648.0"	2.00996188471968	4.01992376943935	0	19.8887156616721	4.3138782102565	0.0223277864034242	0.723352054389152
"Transcript_103006.0"	41.9724469053498	8.89859142377506	75.0463023869245	0.146133820964458	-2.77463798320083	0.0155747764314877	0.723352054389152
"Transcript_103214.0"	17.9199272710205	0	35.8398545420409	0.00535774299869191	-7.54415890531181	0.00394170175524668	0.666852152596639
"Transcript_103407.0"	32.4340439437447	0.512165838103394	64.3559220493859	0.0157262055844054	-5.99068557019172	0.0102593226523526	0.710047085209127
"Transcript_103823.0"	43.7860257985041	0	87.5720515970082	0.00687832002467348	-7.18372804357659	0.00201827163252948	0.61828840085704
"Transcript_10441.0"	316.823600691971	0.391070739046767	633.256130644895	0.00154051795249888	-9.34236878967191	0.00070357984620856	0.568472785411864
"Transcript_104682.0"	22.0548435554681	0.158583427177172	43.9511036837589	0.00973577433804919	-6.68248855592334	0.00452223540976925	0.666852152596639
"Transcript_104926.0"	25.3318806469566	0	50.6637612939132	0.00368534888350905	-8.08398308225275	0.000264012304519871	0.49981541087893
"Transcript_105290.0"	1.6220253956218	0	3.24405079124359	0.0248496536488235	-5.33063044593915	0.0386680498372687	0.723352054389152
