Name	Classification	Specific_Tissue	Sex_Expression	Diff_Sex	log2_FC	Involved_in_Maturation	Involved_in_Growth
Transcript_273822.0	Others				0.09751044848546277	False	False
Transcript_269958.0	Tissue Specific	Brain				False	False
Transcript_273814.0	Tissue Specific	Brain	Female			False	False
Transcript_256054.0	Tissue Specific	Gonad	Female			False	True
Transcript_273802.0	Others				0.36158623550193103	False	True
Transcript_23971.0	Others				1.3612339085185459	False	False
Transcript_27380.0	Others					False	False
Transcript_75935.0	Tissue Specific	Muscle				False	False
Transcript_27378.0	Tissue Specific	Kidney				False	False
Transcript_234855.0	Others					False	False
Transcript_273751.0	Tissue Specific	Brain				False	False
Transcript_273747.0	Others				0.5041928714102544	False	False
Transcript_246065.0	Others					False	False
Transcript_273739.0	Others				2.1095316789387497	False	False
Transcript_273734.0	Others				0.17382231929725908	False	False
Transcript_143653.0	Others				0.18366255838048498	False	False
Transcript_273731.0	Others				0.4532296522771214	False	False
Transcript_272987.0	Others				0.4029224193763831	False	True
Transcript_273714.0	Others					False	False
Transcript_273708.0	Others					False	False
Transcript_237837.0	Others					False	False
Transcript_59396.0	Others					False	False
Transcript_273686.0	Others				0.46599258925046494	False	False
Transcript_41230.0	Others					False	False
Transcript_43763.0	Others					False	False
Transcript_273682.0	Tissue Specific	Brain	Female		0.03811706412935179	False	False
Transcript_241564.0	Others					False	False
Transcript_244626.0	Others				0.4622912408004288	False	False
Transcript_273679.0	Others				0.7894192910714751	False	False
Transcript_47304.0	Tissue Specific	Gonad	Female			False	True
Transcript_273669.0	Others				1.7963406370683188	False	False
Transcript_273666.0	Others					False	False
Transcript_62842.0	Tissue Specific	Skin	Male	Male	4.295835571767476	False	False
Transcript_273661.0	Others					False	False
Transcript_273660.0	Tissue Specific	Brain				False	False
Transcript_54334.0	Others				1.167639648506567	False	False
Transcript_273658.0	Others					False	False
Transcript_273644.0	Others				0.2677360370594578	False	False
Transcript_273627.0	Others				0.6051668897397784	False	False
Transcript_245647.0	Tissue Specific	Skin	Female		1.1381186031189585	False	False
Transcript_273623.0	Others				0.08091806775886151	False	False
Transcript_85039.0	Others				0.45206221435186783	False	False
Transcript_79102.0	Tissue Specific	Brain				False	False
Transcript_273615.0	Others				0.322881572961525	False	False
Transcript_273607.0	Others				0.19674928341464293	False	False
Transcript_273600.0	Others				2.0156630887936937	False	True
Transcript_273599.0	Others					False	False
Transcript_191207.0	Others					False	False
Transcript_273595.0	Tissue Specific	Brain				False	False
Transcript_242080.0	Others					False	False
Transcript_161899.0	Tissue Specific	Brain				False	False
Transcript_273591.0	Others				0.09236288754577567	False	False
Transcript_100836.0	Others				0.15342554516971024	False	False
Transcript_53780.0	Others					False	False
Transcript_273573.0	Others				0.25385850122404	False	False
Transcript_273549.0	Others				0.06787821993951772	False	False
Transcript_273529.0	Others				0.9550877260324508	False	False
Transcript_193176.0	Tissue Specific	Skin	Female			False	False
Transcript_273519.0	Others				0.3312745420764545	False	False
Transcript_256472.0	Others					False	False
Transcript_273517.0	Others					False	True
Transcript_273513.0	Others					False	False
Transcript_273510.0	Others				0.8887180117340907	False	False
Transcript_273506.0	Others				0.2380331661272483	False	False
Transcript_261014.0	Tissue Specific	Skin	Female			False	False
Transcript_274059.0	Others				0.25805729075305905	False	False
Transcript_101094.0	Others				1.7265692989884966	False	False
Transcript_59730.0	Tissue Specific	Skin	Female			False	False
Transcript_273500.0	Others				0.828382174643786	False	False
Transcript_273495.0	Tissue Specific	Lung				False	False
Transcript_273471.0	Tissue Specific	Skin	Female			False	False
Transcript_92648.0	Others					False	True
Transcript_273469.0	Others				0.39073041917764423	False	False
Transcript_235384.0	Tissue Specific	Brain	Male			False	False
Transcript_275412.0	Others				0.8222335222060113	False	False
Transcript_254715.0	Others					False	False
Transcript_199320.0	Tissue Specific	Gonad	Female			False	True
Transcript_273451.0	Others				0.4050779116042697	False	False
Transcript_265081.0	Others					False	False
Transcript_209848.0	Others				1.0965629523782074	False	False
Transcript_273445.0	Others				0.4060820114228718	False	False
Transcript_267913.0	Others					False	False
Transcript_229206.0	Others					False	True
Transcript_273437.0	Others				0.4656629891186672	False	False
Transcript_273433.0	Others				0.43702849524292636	False	False
Transcript_247649.0	Others					False	False
Transcript_263856.0	Others					False	False
Transcript_82908.0	Tissue Specific	Kidney	Male			False	False
Transcript_27343.0	Tissue Specific	Brain	Female			False	False
Transcript_37409.0	Tissue Specific	Skin	Female			False	False
Transcript_273421.0	Others				0.7338674508150939	False	False
Transcript_273392.0	Others					False	False
Transcript_257706.0	Others					False	False
Transcript_32306.0	Tissue Specific	Liver	Male	Male	3.7095470302589164	False	False
Transcript_51065.0	Tissue Specific	Muscle				False	False
Transcript_27339.0	Others					False	False
Transcript_29839.0	Others					False	False
Transcript_273384.0	Others					False	False
Transcript_273381.0	Others					False	True
Transcript_273377.0	Others				1.5966467146541337	False	False
Transcript_273361.0	Tissue Specific	Skin	Male			False	False
Transcript_100228.0	Tissue Specific	Heart				False	False
Transcript_273348.0	Others					False	False
Transcript_233641.0	Others					False	False
Transcript_273332.0	Others					False	False
Transcript_29057.0	Tissue Specific	Gonad	Female			False	True
Transcript_273309.0	Others				2.3952758673534245	False	False
Transcript_273284.0	Tissue Specific	Skin	Male	Male	3.9695866690529136	False	False
Transcript_273283.0	Tissue Specific	Lung				False	False
Transcript_11984.0	Others				0.4074388350740785	False	False
Transcript_273241.0	Tissue Specific	Gonad	Male			False	False
Transcript_82647.0	Others					False	False
Transcript_273234.0	Others				0.5162864242677851	False	False
Transcript_273211.0	Others					False	False
Transcript_273206.0	Others					False	False
Transcript_273204.0	Others					False	False
Transcript_47916.0	Others					False	False
Transcript_273164.0	Others					False	False
Transcript_273161.0	Others					False	False
Transcript_273144.0	Others					False	False
Transcript_195729.0	Tissue Specific	Gonad	Female			False	False
Transcript_82853.0	Not Expressed					False	False
Transcript_273140.0	Others				0.03344717590617363	False	False
Transcript_257979.0	Tissue Specific	Skin	Male			False	False
Transcript_145112.0	Tissue Specific	Brain				False	False
Transcript_20810.0	Others					False	False
Transcript_273107.0	Others					False	False
Transcript_273098.0	Tissue Specific	Lung	Female			False	False
Transcript_273096.0	Others					False	False
