"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"Transcript_103082.0"	0.284981901631338	0.398258092139967	0.171705711122709	0.431141801036808	-1.21376565015118	0.0447101979367877	0.573076782204851
"Transcript_104926.0"	8.49105190092071	16.9821038018414	0	0	-Inf	0.0210783053962098	0.411952104390899
"Transcript_105006.0"	0.173713129906797	0.297642098770424	0.0497841610431695	0.167261826364048	-2.57981987365552	0.0394412875002706	0.554443026792109
"Transcript_105564.0"	0.309463477655067	0.618926955310133	0	0	-Inf	0.000645517811479966	0.100876363497368
"Transcript_106301.0"	0.196907184754866	0.393814369509732	0	0	-Inf	0.00119799794726283	0.128111452017329
"Transcript_107698.0"	0.562000023013308	1.12400004602662	0	0	-Inf	0.0137300177308757	0.368838189042873
"Transcript_107709.0"	0.558736077485544	1.11747215497109	0	0	-Inf	0.0492005493216644	0.579881476655363
"Transcript_108370.0"	0.228583194345142	0.0411827101322704	0.415983678558014	10.1009301530171	3.33641624582056	0.0217301054506362	0.4127804372343
"Transcript_109570.0"	0.409597639529947	0.819195279059893	0	0	-Inf	0.00825730926449155	0.323154692393743
"Transcript_110159.0"	0.206900277855595	0	0.41380055571119	Inf	Inf	0.00887266466843623	0.323154692393743
"Transcript_110466.0"	0.330414539054262	0.141864501391925	0.518964576716598	3.65817080118492	1.87112243656005	0.0194557338446157	0.411952104390899
"Transcript_110768.0"	0.13160930967813	0	0.26321861935626	Inf	Inf	0.041718905416796	0.554443026792109
"Transcript_111404.0"	0.350158209168438	0.647119681221461	0.0531967371154149	0.082205407529878	-3.60462289124561	0.013501980115728	0.368838189042873
"Transcript_112024.0"	0.702809816859379	1.40561963371876	0	0	-Inf	0.0435369753947837	0.566237027869098
"Transcript_115609.0"	0.387101811719079	0.774203623438157	0	0	-Inf	0.0394087294967369	0.554443026792109
"Transcript_116005.0"	2.34111199306744	4.68222398613489	0	0	-Inf	0.0303354001399125	0.473930983470849
"Transcript_119730.0"	0.34545613493423	0.179420355147784	0.511491914720677	2.85080204138139	1.5113678625544	0.0194557337815627	0.411952104390899
"Transcript_122414.0"	0.351952035529654	0.0411827101322704	0.662721360927037	16.0922231392376	4.00829174291256	0.0015964371564491	0.160746409350911
"Transcript_124654.0"	0.142494749867016	0	0.284989499734032	Inf	Inf	0.0417189052612584	0.554443026792109
"Transcript_125891.0"	0.379195148214262	0	0.758390296428524	Inf	Inf	0.000947248993108622	0.119893489188232
"Transcript_126693.0"	0.376253801142477	0.691838203173616	0.0606693991113367	0.0876930456182278	-3.51139375360316	0.00972706646438464	0.348426374661289
"Transcript_127177.0"	0.185322195595217	0.370644391190434	0	0	-Inf	0.0210541871130974	0.411952104390899
"Transcript_131018.0"	0.292423771067868	0.535063381092566	0.0497841610431695	0.0930434838233805	-3.42595107318052	0.0394412866841428	0.554443026792109
"Transcript_131471.0"	0.314427876281126	0.0732401337120397	0.555615618850211	7.58621797489804	2.92338082520275	0.0356923083877397	0.529797538866541
"Transcript_136546.0"	7.27202801748124	14.5440560349625	0	0	-Inf	0.0140775422543395	0.368838189042873
"Transcript_138570.0"	0.149352483129508	0	0.298704966259017	Inf	Inf	0.0192394870462687	0.411952104390899
"Transcript_138689.0"	0.352328071996321	0.704656143992641	0	0	-Inf	0.000142345286505506	0.0682180272438673
"Transcript_138976.0"	6.76497747898427	12.2880151044178	1.24193985355073	0.1010691997851	-3.30658468307968	0.0347393228975618	0.526180873725231
"Transcript_139205.0"	0.0961722707393076	0.192344541478615	0	0	-Inf	0.0489489108969482	0.578444056540221
"Transcript_139889.0"	0.325918061429435	0	0.65183612285887	Inf	Inf	0.000185078931475884	0.0682180272438673
