"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pvalue"	"padj"
"Transcript_101771.0"	3.47655338974524	1.31109404433231	5.64201273515817	3.18582706565182	1.67166795603526	0.0483892176148309	0.999933927310508
"Transcript_101812.0"	6.69095779502526	11.8185024632848	1.56341312676575	0.177161410256328	-2.49686370823386	0.0334700117253315	0.999933927310508
"Transcript_101946.0"	2.15861259955275	4.31722519910551	0	0.0868080668576628	-3.52602707481484	0.0433131946621932	0.999933927310508
"Transcript_101947.0"	2.2526235025821	4.45546284412102	0.0497841610431695	0.0985551799186222	-3.3429244905352	0.037949476432826	0.999933927310508
"Transcript_102008.0"	2.46694327573702	4.88068981435862	3.51098464961739	0.0958085184843659	-3.38370225585093	0.0448724973574655	0.999933927310508
"Transcript_102282.0"	0.973618559604102	0.0521543238180335	1.89508279539017	11.2887514220956	3.49681402238327	0.0100653598998203	0.999933927310508
"Transcript_102284.0"	1.63865256732551	3.27730513465101	0	0.0633492610759892	-3.98052839832061	0.0164687806817833	0.999933927310508
"Transcript_102290.0"	20.3532118022811	30.6955290698396	10.0108945347226	0.359205381334412	-1.47711913131634	0.0125068115800646	0.999933927310508
"Transcript_102388.0"	21.3968692715391	37.0451065517232	35.6153706036878	0.182655333756158	-2.45280421213621	0.00938312461443918	0.999933927310508
"Transcript_102426.0"	6.51514133028891	12.8227044458801	0.207578214697678	0.0670165750440594	-3.89933823186873	0.0181943990515071	0.999933927310508
"Transcript_102441.0"	4.41488463451996	0.727522586731799	8.10224668230812	6.25445348711812	2.64488382749728	0.0179911384809651	0.999933927310508
"Transcript_102589.0"	3.10570824954338	0.833953248806768	5.37746325027999	4.93702251533115	2.30364122451643	0.0321501879876849	0.999933927310508
"Transcript_10264.0"	6.88200058120556	203.928553651414	0.0995683220863389	0.077340452426959	-3.69263298583731	0.0358325747898616	0.999933927310508
"Transcript_103006.0"	14.8299769309045	25.8205525054376	3.83940135637139	0.175655314798507	-2.50918086607858	0.0119568224114865	0.999933927310508
"Transcript_104880.0"	9.47797298572863	2.98807527953554	15.9678706919217	3.9644200332914	1.98710982524977	0.044593715835079	0.999933927310508
"Transcript_104926.0"	8.49105190092071	16.9821038018414	0	0.0227628436427124	-5.45717539254429	0.0008949307630539	0.999933927310508
"Transcript_105072.0"	0.81545801964827	1.63091603929654	1.19481986503607	0.0851492552833141	-3.55386227764857	0.0368320423889314	0.999933927310508
"Transcript_105184.0"	7.56340426517355	13.6756135338365	7.14324586786004	0.192198846885425	-2.37932841433069	0.0269697952654042	0.999933927310508
"Transcript_105238.0"	1.75787552025543	0.324029048772186	3.19172199173867	5.46238278223504	2.44953041602236	0.0481363972509219	0.999933927310508
"Transcript_105475.0"	10.371537308904	16.6457314439959	4.09734317381207	0.291642165890191	-1.77772877397817	0.0286175955103427	0.999933927310508
"Transcript_105570.0"	6.88324131423362	11.0048443614297	2.76163826703751	0.345504692634958	-1.53322278949754	0.0414008210014103	0.999933927310508
"Transcript_105674.0"	1.33282534276247	0.093337033950304	2.57231365157464	9.83205022826296	3.29749228591814	0.0118793794828097	0.999933927310508
"Transcript_105974.0"	5.93682171121449	11.873643422429	0	0.0462765936270983	-4.43357351673292	0.0106604396221473	0.999933927310508
"Transcript_107006.0"	5.40021559975993	2.0864739253854	8.71395727413445	3.10259914265917	1.63347731199541	0.049952078493561	0.999933927310508
"Transcript_107698.0"	0.562000023013308	1.12400004602662	0	0.0943733159924774	-3.40547719382424	0.0437991597435007	0.999933927310508
"Transcript_108152.0"	6.00890928119904	2.6265003747466	9.39131818765147	2.91949749329803	1.54572007242238	0.038597553431632	0.999933927310508
"Transcript_108690.0"	8.13178001649747	15.4259817380522	0.837578294942773	0.123516892899036	-3.01721972809758	0.0372256814786629	0.999933927310508
"Transcript_10886.0"	2.34108639231161	98.4466023048921	0.0497841610431695	0.0633104802363433	-3.98141185072952	0.0141810782833349	0.999933927310508
"Transcript_110405.0"	1.33812721873838	2.62305770036134	0.0531967371154149	0.0861870502536214	-3.53638507148531	0.0271209220294591	0.999933927310508
"Transcript_110467.0"	2.18248062673446	0.0320574235797692	4.33290382988915	16.5394052672632	4.04783545313316	0.00823202618417148	0.999933927310508
"Transcript_110914.0"	5.5581923099165	11.116384619833	0	0.032983223698513	-4.92212377867154	0.00310167056006411	0.999933927310508
"Transcript_110955.0"	12.0463735637943	19.8927512466431	4.19999588094556	0.246188688456795	-2.02216361853284	0.0359673493471157	0.999933927310508
"Transcript_11125.0"	169.745422244122	42.9726662806852	296.518178207558	5.69611893262351	2.50997926949863	0.0147637774139311	0.999933927310508
"Transcript_113398.0"	1.87608265508932	0.0641148471595384	3.68805046301909	14.2047570743178	3.82830225406889	0.00446098791216975	0.999933927310508
"Transcript_11393.0"	55.0601623544754	94.8517557007553	15.2685690081955	0.181117634230813	-2.4650010760493	0.00422714539232602	0.999933927310508
"Transcript_114579.0"	3.77385307526329	6.64125839067141	0.90644775985517	0.180993324133496	-2.46599160982815	0.0313210204329764	0.999933927310508
"Transcript_115012.0"	6.66232574683088	2.34738285369452	10.9772686399672	3.64539560874131	1.86607538843391	0.0334649246747183	0.999933927310508
