Name	heart1	spleen1	lung1	colon1	liver1	kidney1	skeletal_muscle_tissue1	brain1	testis1	brain2	kidney2	colon2	liver2	lung2	skeletal_muscle_tissue2	spleen2	testis2	brain3	colon3	heart3	kidney3	liver3	lung3	skeletal_muscle_tissue3	spleen3	testis3
MGI:1099431	618.553	3665.61	1783.04	3618.5	1840.49	5388.2	930.08	2094.85	1936.62	2939.93	3898.19	1198	1493	1498	782.004	2994.01	1457.04	891.438	822.257	346.11	1564.61	599.094	3944.18	325.88	2997.3	748.966
MGI:3030547	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:1345185	44.341	557.203	74.778	218.751	190.034	116.255	70.907	7301.03	723.248	8050.49	167.81	119.076	150.988	159.368	152.725	514.245	621.122	2208.11	75.235	23.594	29.807	25.451	251.379	56.733	371.34	160.41
MGI:2176433	260.298	2865.77	1617.68	662.514	1661.42	710.957	306.676	213.621	244.08	274.395	1098.8	319.585	2175.01	1896.52	250	4028.81	194.389	61.061	228.179	127.143	167.809	200.535	5595.44	110.801	3150.45	88.634
MGI:1890470	368.03	1398.47	1918.37	339.145	212.333	4041.76	261.151	3732.93	25125.1	4599.46	3801.15	211.366	166.777	2129.63	315.507	951.844	17038.5	1648.42	223.078	145.409	1526.82	69.938	5615.69	126.023	906.592	10191
MGI:1096376	3218.82	18088.4	4377.62	4346.21	48.548	8559.99	9165.57	7929.47	3704.26	9520.94	8189	2326.09	3194.74	5321.48	8223.75	10761.8	3756.81	3293.34	1633.97	965.886	2183.52	939.824	10129.7	2478.42	12121.3	1014.97
MGI:3703084	0.133	0.045	0.076	0.12	0.142	0.185	2.454	64.368	4.104	95.826	0.159	0.001	0.248	0.095	2.315	0.048	16.615	0.101	0.06	0.013	0.015	0.037	0.013	0.027	0.013	0.814
MGI:1929612	111.034	6620.68	580.455	3757.98	1007	404.169	121.009	147.174	475.258	372.003	558.002	1820.01	2713.01	649.001	173.001	8523	246	74.713	1064.87	78.014	164.245	1126.13	1505.67	45.063	4852.33	134.168
MGI:1914857	481.156	2265.14	728.228	812.194	11.23	726.929	772.948	3652.82	1087.15	2393.02	515.3	192.247	124.085	602	543.931	1519.8	629.009	604.964	158.857	215.873	158.459	181.851	1467.45	208.265	1894.11	374.741
MGI:1351347	10.324	12.255	10.355	5.926	12.34	28.331	6.405	10.408	149.41	2.079	12.532	0.002	0.004	2.007	1.009	1.013	56.215	17.348	5.773	4.384	3.61	2.088	26.744	4.786	13.52	101.507
MGI:3030308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:1918412	0	3	0	0	0	0	0	0	1301.59	0	1	0	0	0	0	0	729.08	0	0	0	0	0	0	0	0	323.631
MGI:1923273	0	3	0	0	2	4	13	69	84	72	6	0	22	4	7	0	53	1	0	0	2	0	3	0	1	5.036
MGI:3584269	186.747	2126.62	370.337	625.324	1327.96	484.1	462.292	997.66	1270.13	1101.4	522.196	248.704	789.096	422.812	462.727	1404.38	900.607	278.845	162.558	81.441	129.611	493.115	774.864	101.99	1370.11	257.342
MGI:102749	1240.15	12075.9	2486.25	12742.9	2.082	7701.17	1132.3	332.032	1400.88	481.507	7807.07	5438.68	10299.1	3733.72	1194.13	13162.3	792.966	140.936	2506.65	804.486	1858.9	2442.82	7719	372.887	12271.3	305.379
MGI:4937894	0	3.057	1.207	60.403	0	2.155	6	9.499	906.162	9.971	5.245	4.002	7	5	4.085	1	524.967	9.591	4.002	7.568	0	1.023	17.57	9.008	14.545	17.651
MGI:1274787	361.556	949.947	654.544	395.627	145.746	1033.7	356.706	913.058	765.586	678.499	680.32	191.179	142.155	497.047	411.017	668.571	510.461	167.654	96.455	118.518	281.691	40.118	1212.18	94.006	716.757	224.088
MGI:3780549	3.294	29.653	9.628	20.245	51.88	30.018	8.887	46.66	1223.87	44.632	26.344	14.376	24.129	32.802	12.12	4.721	795.613	15.541	4.387	0.025	10.789	12.71	39.051	3.861	21.193	104.186
MGI:1919047	4.92	69.674	10.605	46.497	419.178	39.611	1.202	13.681	288.317	62.607	65.845	19.403	967.421	24.113	11.458	68.974	450.588	1.291	7.507	1.141	29.621	200.997	28.058	0.001	115.358	63.358
MGI:3782493	0	0	0	0	0	0	0	1	0	0	5.661	0	0	0	0	0	0	0	0	0	2.018	0	0	0	0	0.783
MGI:3647107	1.078	26.74	2.491	4.586	7.257	5.277	6.752	5.49	40.428	9.753	1.554	0.991	7.209	11.878	6.239	37.644	38.426	4.747	4.354	2.963	1.587	4.14	6.695	0.006	14.092	14.114
MGI:2685177	75.553	24.8	22.605	17.75	4.526	14.19	125.931	2310.62	260.352	2029.96	11.934	8.058	19.951	25.301	150.99	14.892	80.897	546.59	8.19	45.921	6.288	0.036	51.035	82.874	21.319	104.161
MGI:1915757	65.312	310.515	159.639	174.948	1.028	25.206	241.515	5613.13	1476.71	8753.42	243.604	469.818	69.386	470.462	153.642	2793.55	1393.03	3239.24	254.153	81.333	56.308	34.295	936.528	36.116	2792.93	349.984
MGI:3646456	2.092	51.586	5.405	7.871	8.422	14.706	29.108	22.102	44.86	14.14	4.951	0.018	2.43	7.375	0.019	12.444	27.821	6.12	0	2.543	3.106	0.051	11.096	0.005	59.117	12.817
MGI:3642994	45.996	292.7	81.641	75.878	72.465	164.705	61.036	189.836	1664.61	167.715	185.198	37.323	150.606	132.015	64.281	81.124	1202.66	62.367	24.065	6.678	40.027	39.33	131.204	18.45	92.642	321.685
MGI:1918339	0	6.058	1.003	5.36	0	0	2.002	1.002	14494.9	1	0	4	0	1	2.024	4.001	12884	1.001	0	0	33.055	0	10.028	0	4.032	5747.63
MGI:5594747	9.158	18.018	11.334	14.983	0.734	24.334	18.281	8.34	364.222	3.698	11.105	11.374	2.904	14.492	1.963	9.611	260.184	4.082	5.242	1.067	1.033	1.123	12.836	3.004	10.338	75.453
